,W/L,Fighter,Kd,Str,Td,Sub,Weight class,Method,Round,Time,Event
3261,win,Neil Seery  Jon Delos Reyes,0  0,38  25,2  3,2  0,Flyweight,SUB  Guillotine Choke,2,4:12,"
              UFC Fight Night: Holohan vs Smolka
            "
3262,win,Stevie Ray  Mickael Lebout,0  0,48  27,1  0,0  0,Lightweight,U-DEC,3,5:00,"
              UFC Fight Night: Holohan vs Smolka
            "
3263,win,Aisling Daly  Ericka Almeida,0  0,59  19,2  1,0  0,Women's Strawweight,U-DEC,3,5:00,"
              UFC Fight Night: Holohan vs Smolka
            "
3264,win,Krzysztof Jotko  Scott Askham,0  0,38  22,2  0,0  1,Middleweight,S-DEC,3,5:00,"
              UFC Fight Night: Holohan vs Smolka
            "
3265,win,Tom Breese  Cathal Pendred,1  0,23  5,0  0,0  0,Welterweight,KO/TKO  Punches,1,4:37,"
              UFC Fight Night: Holohan vs Smolka
            "
3266,win,Darren Elkins  Robert Whiteford,0  0,40  23,7  1,2  0,Featherweight,U-DEC,3,5:00,"
              UFC Fight Night: Holohan vs Smolka
            "
3267,win,Garreth McLellan  Bubba Bush,0  0,97  8,2  3,1  0,Middleweight,KO/TKO  Punches,3,4:58,"
              UFC Fight Night: Holohan vs Smolka
            "
3268,win,Daniel Cormier  Alexander Gustafsson,0  1,140  120,1  1,0  0,Light Heavyweight,S-DEC,5,5:00,"
              UFC 192: Cormier vs Gustafsson
            "
3269,win,Ryan Bader  Rashad Evans,0  0,52  25,1  0,0  0,Light Heavyweight,U-DEC,3,5:00,"
              UFC 192: Cormier vs Gustafsson
            "
3270,win,Ruslan Magomedov  Shawn Jordan,0  0,71  20,0  1,0  0,Heavyweight,U-DEC,3,5:00,"
              UFC 192: Cormier vs Gustafsson
            "
3271,win,Joseph Benavidez  Ali Bagautinov,0  0,48  31,0  0,0  0,Flyweight,U-DEC,3,5:00,"
              UFC 192: Cormier vs Gustafsson
            "
3272,win,Julianna Pena  Jessica Eye,0  0,34  30,3  1,3  1,Women's Bantamweight,U-DEC,3,5:00,"
              UFC 192: Cormier vs Gustafsson
            "
3273,win,Yair Rodriguez  Dan Hooker,0  0,52  19,2  1,0  0,Featherweight,U-DEC,3,5:00,"
              UFC 192: Cormier vs Gustafsson
            "
3274,win,Albert Tumenov  Alan Jouban,1  0,19  17,0  0,0  0,Welterweight,KO/TKO  Punches,1,2:55,"
              UFC 192: Cormier vs Gustafsson
            "
3275,win,Adriano Martins  Islam Makhachev,1  0,3  4,0  0,0  0,Lightweight,KO/TKO  Punch,1,1:46,"
              UFC 192: Cormier vs Gustafsson
            "
3276,win,Rose Namajunas  Angela Hill,0  0,13  12,1  0,1  0,Women's Strawweight,SUB  Rear Naked Choke,1,2:47,"
              UFC 192: Cormier vs Gustafsson
            "
3277,win,Sage Northcutt  Francisco Trevino,0  0,21  1,1  0,0  0,Lightweight,KO/TKO  Punches,1,0:57,"
              UFC 192: Cormier vs Gustafsson
            "
3278,win,Sergio Pettis  Chris Cariaso,1  0,37  37,3  0,0  1,Flyweight,U-DEC,3,5:00,"
              UFC 192: Cormier vs Gustafsson
            "
3279,win,Derrick Lewis  Viktor Pesta,0  0,41  8,0  5,0  0,Heavyweight,KO/TKO  Punches,3,1:15,"
              UFC 192: Cormier vs Gustafsson
            "
3280,win,Josh Barnett  Roy Nelson,0  0,146  60,0  4,0  0,Heavyweight,U-DEC,5,5:00,"
              UFC Fight Night: Barnett vs Nelson
            "
3281,win,Uriah Hall  Gegard Mousasi,1  0,18  17,0  1,1  1,Middleweight,KO/TKO  Spinning Back Kick,2,0:25,"
              UFC Fight Night: Barnett vs Nelson
            "
3282,win,Kyoji Horiguchi  Chico Camus,0  0,78  63,0  0,0  0,Flyweight,U-DEC,3,5:00,"
              UFC Fight Night: Barnett vs Nelson
            "
3283,win,Takeya Mizugaki  George Roop,0  0,70  47,0  0,0  0,Bantamweight,U-DEC,3,5:00,"
              UFC Fight Night: Barnett vs Nelson
            "
3284,win,Diego Brandao  Katsunori Kikuno,1  0,14  1,0  0,0  0,Featherweight,KO/TKO  Punch,1,0:28,"
              UFC Fight Night: Barnett vs Nelson
            "
3285,draw  draw,Mizuto Hirota  Teruto Ishihara,0  2,62  88,2  0,0  0,Featherweight,S-DEC,3,5:00,"
              UFC Fight Night: Barnett vs Nelson
            "
3286,win,Keita Nakamura  Li Jingliang,1  1,40  79,0  1,1  0,Welterweight,SUB  Rear Naked Choke,3,2:17,"
              UFC Fight Night: Barnett vs Nelson
            "
3287,win,Nick Hein  Yusuke Kasuya,0  0,46  44,0  1,0  0,Lightweight,U-DEC,3,5:00,"
              UFC Fight Night: Barnett vs Nelson
            "
3288,win,Kajan Johnson  Naoyuki Kotani,1  0,57  21,0  1,0  0,Lightweight,U-DEC,3,5:00,"
              UFC Fight Night: Barnett vs Nelson
            "
3289,win,Shinsho Anzai  Roger Zapata,0  0,23  28,2  0,0  1,Welterweight,KO/TKO,3,0:47,"
              UFC Fight Night: Barnett vs Nelson
            "
3290,win,Demetrious Johnson  John Dodson,0  0,88  58,4  1,0  0,Flyweight,U-DEC,5,5:00,"
              UFC 191: Johnson vs Dodson 2
            "
3291,win,Andrei Arlovski  Frank Mir,0  0,39  24,0  1,0  0,Heavyweight,U-DEC,3,5:00,"
              UFC 191: Johnson vs Dodson 2
            "
3292,win,Anthony Johnson  Jimi Manuwa,1  0,25  8,2  0,0  0,Light Heavyweight,KO/TKO  Punch,2,0:28,"
              UFC 191: Johnson vs Dodson 2
            "
3293,win,Corey Anderson  Jan Blachowicz,0  0,84  20,4  1,0  1,Light Heavyweight,U-DEC,3,5:00,"
              UFC 191: Johnson vs Dodson 2
            "
3294,win,Paige VanZant  Alex Chambers,0  0,73  30,3  0,1  1,Women's Strawweight,SUB  Armbar,3,1:01,"
              UFC 191: Johnson vs Dodson 2
            "
3295,win,Ross Pearson  Paul Felder,0  0,62  60,1  0,0  0,Lightweight,S-DEC,3,5:00,"
              UFC 191: Johnson vs Dodson 2
            "
3296,win,John Lineker  Francisco Rivera,1  0,28  16,0  0,1  0,Bantamweight,SUB  Guillotine Choke,1,2:08,"
              UFC 191: Johnson vs Dodson 2
            "
3297,win,Raquel Pennington  Jessica Andrade,0  0,41  41,2  4,1  1,Women's Bantamweight,SUB  Rear Naked Choke,2,4:58,"
              UFC 191: Johnson vs Dodson 2
            "
3298,win,Tiago dos Santos e Silva  Clay Collard,0  1,52  84,1  1,1  0,Featherweight,S-DEC,3,5:00,"
              UFC 191: Johnson vs Dodson 2
            "
3299,win,Joe Riggs  Ron Stallings,1  0,35  24,2  0,0  0,Middleweight,DQ,2,2:28,"
              UFC 191: Johnson vs Dodson 2
            "
3300,win,Joaquim Silva  Nazareno Malegarie,0  0,49  58,0  1,0  0,Lightweight,S-DEC,3,5:00,"
              UFC 191: Johnson vs Dodson 2
            "
3301,win,Max Holloway  Charles Oliveira,0  0,14  5,0  0,0  0,Featherweight,KO/TKO,1,1:39,"
              UFC Fight Night: Holloway vs Oliveira
            "
3302,win,Neil Magny  Erick Silva,0  0,68  29,4  3,0  0,Welterweight,U-DEC,3,5:00,"
              UFC Fight Night: Holloway vs Oliveira
            "
3303,win,Patrick Cote  Joshua Burkman,1  0,60  45,0  1,0  0,Welterweight,KO/TKO  Punches,3,1:26,"
              UFC Fight Night: Holloway vs Oliveira
            "
3304,win,Francisco Trinaldo  Chad Laprise,1  0,17  8,0  0,0  0,Lightweight,KO/TKO  Punches,1,2:43,"
              UFC Fight Night: Holloway vs Oliveira
            "
3305,win,Olivier Aubin-Mercier  Tony Sims,0  0,3  23,6  0,0  1,Lightweight,U-DEC,3,5:00,"
              UFC Fight Night: Holloway vs Oliveira
            "
3306,win,Valerie Letourneau  Maryna Moroz,1  0,69  55,1  0,0  0,Women's Strawweight,U-DEC,3,5:00,"
              UFC Fight Night: Holloway vs Oliveira
            "
3307,win,Frankie Perez  Sam Stout,1  0,12  2,0  0,0  0,Lightweight,KO/TKO  Punches,1,0:54,"
              UFC Fight Night: Holloway vs Oliveira
            "
3308,win,Felipe Arantes  Yves Jabouin,0  0,4  5,0  2,1  0,Bantamweight,SUB  Armbar,1,4:21,"
              UFC Fight Night: Holloway vs Oliveira
            "
3309,win,Nikita Krylov  Marcos Rogerio de Lima,0  0,21  5,0  0,1  2,Light Heavyweight,SUB  Rear Naked Choke,1,2:29,"
              UFC Fight Night: Holloway vs Oliveira
            "
3310,win,Chris Kelades  Chris Beal,0  0,50  47,1  2,0  0,Flyweight,S-DEC,3,5:00,"
              UFC Fight Night: Holloway vs Oliveira
            "
3311,win,Shane Campbell  Elias Silverio,0  0,44  22,2  2,0  0,Lightweight,U-DEC,3,5:00,"
              UFC Fight Night: Holloway vs Oliveira
            "
3312,win,Misha Cirkunov  Daniel Jolly,0  0,24  6,3  0,0  0,Light Heavyweight,KO/TKO  Punches,1,4:45,"
              UFC Fight Night: Holloway vs Oliveira
            "
3313,win,Glover Teixeira  Ovince Saint Preux,0  0,53  30,5  0,1  0,Light Heavyweight,SUB  Rear Naked Choke,3,3:10,"
              UFC Fight Night: Teixeira vs Saint Preux
            "
3314,win,Beneil Dariush  Michael Johnson,0  0,75  84,0  0,0  0,Lightweight,S-DEC,3,5:00,"
              UFC Fight Night: Teixeira vs Saint Preux
            "
3315,win,Derek Brunson  Sam Alvey,0  0,27  4,0  0,0  0,Middleweight,KO/TKO  Punches,1,2:19,"
              UFC Fight Night: Teixeira vs Saint Preux
            "
3316,win,Jared Rosholt  Timothy Johnson,0  0,19  26,2  3,1  0,Heavyweight,U-DEC,3,5:00,"
              UFC Fight Night: Teixeira vs Saint Preux
            "
3317,win,Amanda Nunes  Sara McMann,1  0,27  2,0  0,1  0,Women's Bantamweight,SUB  Rear Naked Choke,1,2:53,"
              UFC Fight Night: Teixeira vs Saint Preux
            "
3318,win,Ray Borg  Geane Herrera,0  0,26  7,3  0,2  0,Flyweight,U-DEC,3,5:00,"
              UFC Fight Night: Teixeira vs Saint Preux
            "
3319,win,Uriah Hall  Oluwale Bamgbose,0  0,11  7,1  0,0  0,Middleweight,KO/TKO  Punches,1,2:32,"
              UFC Fight Night: Teixeira vs Saint Preux
            "
3320,win,Chris Camozzi  Tom Watson,0  0,87  82,3  1,2  0,Middleweight,U-DEC,3,5:00,"
              UFC Fight Night: Teixeira vs Saint Preux
            "
3321,win,Dustin Ortiz  Willie Gates,0  0,92  13,4  0,1  0,Flyweight,KO/TKO  Punches,3,2:58,"
              UFC Fight Night: Teixeira vs Saint Preux
            "
3322,win,Frankie Saenz  Sirwan Kakai,0  0,80  55,1  3,1  0,Bantamweight,S-DEC,3,5:00,"
              UFC Fight Night: Teixeira vs Saint Preux
            "
3323,win,Jonathan Wilson  Chris Dempsey,1  0,4  0,0  0,0  0,Light Heavyweight,KO/TKO  Punch,1,0:50,"
              UFC Fight Night: Teixeira vs Saint Preux
            "
3324,win,Marlon Vera  Roman Salazar,0  0,25  14,0  1,2  0,Bantamweight,SUB  Triangle Armbar,2,2:15,"
              UFC Fight Night: Teixeira vs Saint Preux
            "
3325,win,Scott Holtzman  Anthony Christodoulou,0  0,71  31,1  0,1  0,Lightweight,SUB  Rear Naked Choke,3,2:40,"
              UFC Fight Night: Teixeira vs Saint Preux
            "
3326,win,Ronda Rousey  Bethe Correia,1  0,19  9,0  0,0  0,Women's Bantamweight,KO/TKO  Punch,1,0:34,"
              UFC 190: Rousey vs Correia
            "
3327,win,Mauricio Rua  Rogerio Nogueira,0  0,53  63,2  0,0  1,Light Heavyweight,U-DEC,3,5:00,"
              UFC 190: Rousey vs Correia
            "
3328,win,Glaico Franca Moreira  Fernando Bruno,0  0,23  20,4  2,1  0,Lightweight,SUB  Rear Naked Choke,3,4:46,"
              UFC 190: Rousey vs Correia
            "
3329,win,Reginaldo Vieira  Dileno Lopes,0  0,59  46,0  3,2  3,Bantamweight,U-DEC,3,5:00,"
              UFC 190: Rousey vs Correia
            "
3330,win,Stefan Struve  Antonio Rodrigo Nogueira,0  0,93  59,0  1,0  0,Heavyweight,U-DEC,3,5:00,"
              UFC 190: Rousey vs Correia
            "
3331,win,Antonio Silva  Soa Palelei,1  0,16  19,0  1,0  0,Heavyweight,KO/TKO  Punches,2,0:41,"
              UFC 190: Rousey vs Correia
            "
3332,win,Claudia Gadelha  Jessica Aguilar,0  0,111  70,4  0,0  0,Women's Strawweight,U-DEC,3,5:00,"
              UFC 190: Rousey vs Correia
            "
3333,win,Demian Maia  Neil Magny,0  0,13  0,2  0,1  0,Welterweight,SUB  Rear Naked Choke,2,2:52,"
              UFC 190: Rousey vs Correia
            "
3334,win,Patrick Cummins  Rafael Cavalcante,0  0,49  23,8  0,0  0,Light Heavyweight,KO/TKO  Elbows,3,0:45,"
              UFC 190: Rousey vs Correia
            "
3335,win,Warlley Alves  Nordine Taleb,0  0,17  17,2  0,1  0,Welterweight,SUB  Guillotine Choke,2,4:11,"
              UFC 190: Rousey vs Correia
            "
3336,win,Iuri Alcantara  Leandro Issa,0  0,53  26,0  1,0  0,Bantamweight,U-DEC,3,5:00,"
              UFC 190: Rousey vs Correia
            "
3337,win,Vitor Miranda  Clint Hester,0  0,57  15,1  1,0  0,Middleweight,KO/TKO  Elbows,2,2:38,"
              UFC 190: Rousey vs Correia
            "
3338,win,Guido Cannetti  Hugo Viana,0  0,32  13,4  1,0  0,Bantamweight,U-DEC,3,5:00,"
              UFC 190: Rousey vs Correia
            "
3339,win,TJ Dillashaw  Renan Barao,0  0,117  62,0  0,0  0,Bantamweight,KO/TKO  Punches,4,0:35,"
              UFC on FOX: Dillashaw vs. Barao II
            "
3340,win,Miesha Tate  Jessica Eye,1  0,58  56,1  0,2  0,Women's Bantamweight,U-DEC,3,5:00,"
              UFC on FOX: Dillashaw vs. Barao II
            "
